uid,title,link,source,published,summary
510328baf3e05f3f3e46b80643aff2e8bd2d69c7,xAI запустила Grok Imagine — платный ИИ-генератор изображений и видео с «пикантным режимом»,https://3dnews.ru/1127077,3dnews.ru,2025-08-04T16:36:00+00:00,"Компания xAI Илона Маска (Elon Musk) официально представила Grok Imagine &mdash; генератор изображений и видео, доступный для подписчиков тарифных планов SuperGrok и Premium+. Как и обещал Маск, позиционирующий Grok как ИИ, свободный от цензуры, Grok Imagine позволяет создавать контент, который обычно в интернете маркируется аббревиатурой NSFW (not safe/suitable for work &mdash; &laquo;небезопасно/неподходяще для демонстрации на работе&raquo;). Источник изображения: @elonmusk"
7a6feb1d1cc9344b6acb56bb83b71e3885287eeb,"[Перевод] Бесплатный инструмент Autoswagger находит уязвимости API, которые злоумышленники надеются, что вы пропустите",https://habr.com/ru/articles/933958/?utm_source=habrahabr&utm_medium=rss&utm_campaign=933958,habr.com,2025-08-04T16:28:37+00:00,"<img src=""https://habrastorage.org/getpro/habr/upload_files/8ad/25a/b5a/8ad25ab5a978937f8d8d59dada11af11.jpg"" /><p>API-интерфейсы — основа современных приложений и одна из самых уязвимых частей инфраструктуры организации. Это делает их излюбленной целью злоумышленников.</p><p>Тревожно, что подобные уязвимости настолько легко эксплуатировать, что этому можно научить человека без технического образования за один день. И спустя три года команда безопасности&nbsp;Intruder&nbsp;всё ещё находит те же уязвимости в API крупных организаций, включая компании, входящие в индекс S&amp;P 500.</p><p>Именно поэтому мы создали&nbsp;<a href=""https://github.com/intruder-io/autoswagger/"" rel=""noopener noreferrer nofollow"">Autoswagger</a>&nbsp;— бесплатный инструмент с открытым исходным кодом, который сканирует API на наличие уязвимостей авторизации.</p> <a href=""https://habr.com/ru/articles/933958/?utm_source=habrahabr&amp;utm_medium=rss&amp;utm_campaign=933958#habracut"">Читать далее</a>"
e8a5b0f5f9127caf63726ad7b9a6847fae9e0222,Чат-боты и LLM в клиентском сервисе ЮMoney: от быстрой обработки запросов до LLM-прогнозирования оценок CSI,https://habr.com/ru/companies/yoomoney/articles/933954/?utm_source=habrahabr&utm_medium=rss&utm_campaign=933954,habr.com,2025-08-04T16:27:03+00:00,"<img src=""https://habrastorage.org/getpro/habr/upload_files/b4b/3a7/260/b4b3a7260fdd112a40ca27dd0d37ac37.png"" /><p>Рассказываем, как&nbsp;искусственный интеллект помогает нам оперативнее помогать пользователям и предсказывает, чего им не&nbsp;хватает в&nbsp;общении с&nbsp;нашей службой поддержки.</p> <a href=""https://habr.com/ru/articles/933954/?utm_source=habrahabr&amp;utm_medium=rss&amp;utm_campaign=933954#habracut"">Читать далее</a>"
b02edb074a557027c2abaf1896c8ee920f64ada2,Это будет Ryzen 9999X3D? AMD готовит уникальный чип с увеличенным вдвое объёмом игровой кеш-памяти 3D V-Cache,https://www.ixbt.com/news/2025/08/04/ryzen-9999x3d-amd-3d-v-cache.html,www.ixbt.com,2025-08-04T16:26:00+00:00,"<p>Компания AMD, похоже, всё же выпустит процессор с ещё большим объёмом кеш-памяти 3D V-Cache. Как минимум об этом говорит инсайдер chi11eddog.&nbsp;</p> <a href=""https://www.ixbt.com/img/n1/news/2025/7/1/RYZEN-9995X3D-192MB-L3CACHE-3DVCACHE-HERO-1200x624_large.jpg""><figure><img src=""https://www.ixbt.com/img//x780/n1/news/2025/7/1/RYZEN-9995X3D-192MB-L3CACHE-3DVCACHE-HERO-1200x624_large.jpg"" /></figure></a> Фото&nbsp;Videocardz <p>Он говорит, что AMD готовит парочку новых CPU линейки Ryzen 9000 (Granite Ridge). Первый получит восемь ядер с TDP 120 Вт и 96 МБ кеш-памяти третьего уровня. То есть это что-то очень похожее на Ryzen 7 9800X3D, и, учитывая линейку Ryzen 5000, можно предположить, что это будет более доступный Ryzen 7 9700X3D со сниженными частотами.&nbsp;</p> <p>Но интереснее второй CPU. Ему приписывают 16 ядер с TDP в 200 Вт. А это больше, чем у Ryzen 9 9950X и X3D. При этом кеш-памяти L3 у него вообще будет 192 МБ! Это на 64 МБ больше, чем у топовых процессоров X3D, а это возможно реализовать только посредством добавления второго чипа памяти 3D V-Cache. Напомним, у всех существующих Ryzen X3D только один такой чип.&nbsp;</p> <p>Ранее AMD прямо говорила, что добавление второго нецелесообразно, так как цена вырастает заметно сильнее, чем производительность. Либо AMD удалось обойти эту проблему, либо так и будет: это будет очень дорогой процессор с небольшим приростом относительно уже вышедших флагманов. При этом стоит не забывать о повышенном TDP. Возможно, именно этот аспект будет обеспечивать хотя бы какой-то прирост производительности.</p> <p>Ранее Chi11eddog совершенно точно сообщил стоимость процессоров AMD Ryzen 9 7900, Ryzen 7 7700 и Ryzen 5 7600 до их выхода.&nbsp;</p>"
191fb41ea119a796341e5cd0e8a67cf4d172452c,Spotify is raising prices for international customers,https://www.engadget.com/audio/spotify-is-raising-prices-for-international-customers-162540129.html?src=rss,www.engadget.com,2025-08-04T16:25:41+00:00,"<p>Spotify is raising prices for <a href=""https://newsroom.spotify.com/2025-08-04/upcoming-changes-to-spotify-premium-subscriptions/""><ins>many international customers</ins></a>. The company just said that Premium subscribers throughout the world will be receiving an email within the next month that outlines the increase.</p> <p>It hasn't announced which countries will be impacted, but did say that the areas include South Asia, the Middle East, Africa, Europe, Latin America and the Asia-Pacific region. That's most of the world.</p> <span id=""end-legacy-contents""></span><p>The company didn't provide specific details regarding the price increase, but did post a sample email in a blog post that showed an uptick of around $1 per month. The email notes an increase from €10.99 to €11.99 in an unspecified country. In American dollars, the new cost shakes out to around $13.90. The price for American consumers is still $12 per month.</p> <figure><img alt=""An email announcing a price increase."" src=""https://s.yimg.com/os/creatr-uploaded-images/2025-08/696ed610-714c-11f0-bd66-b9bc6987f27f"" style=""height: 778px; width: 1040px;"" /><figcaption></figcaption><div class=""photo-credit"">Spotify </div></figure> <p>Spotify announced this news after a disappointing earnings report in which it missed revenue expectations. This caused the stock to <a href=""https://techcrunch.com/2025/08/04/spotify-raises-subscription-prices/""><ins>drop by 11 percent</ins></a> and for CEO Daniel Ek to announce that he's &quot;unhappy&quot; with the company's current performance.</p> <p><em>The Verge</em> <a href=""https://www.theverge.com/news/718038/spotify-premium-subscription-price-increase-outside-us""><ins>scoured the Internet Archive</ins></a> and found that some countries have already experienced a recent price increase. The new subscription cost has already been applied to users in Spain, Italy and Portugal.</p> <p>Ek has been branching away from the music and podcast streaming business in recent months. He recently <a class=""rapid-with-clickid"" href=""https://shopping.yahoo.com/rdlw?merchantId=34e37b9c-8975-48da-aa39-df8bcd5badc3&amp;siteId=us-engadget&amp;pageId=1p-autolink&amp;contentUuid=84dc804c-fd64-42e0-bbb9-2a2ac37970d1&amp;featureId=text-link&amp;merchantName=CNBC&amp;linkText=led+a+%24694+million+investment&amp;custData=eyJzb3VyY2VOYW1lIjoiV2ViLURlc2t0b3AtVmVyaXpvbiIsImxhbmRpbmdVcmwiOiJodHRwczovL3d3dy5jbmJjLmNvbS8yMDI1LzA2LzE3L3Nwb3RpZnlzLWRhbmllbC1lay1sZWFkcy1pbnZlc3RtZW50LWluLWRlZmVuc2Utc3RhcnR1cC1oZWxzaW5nLmh0bWwiLCJjb250ZW50VXVpZCI6Ijg0ZGM4MDRjLWZkNjQtNDJlMC1iYmI5LTJhMmFjMzc5NzBkMSIsIm9yaWdpbmFsVXJsIjoiaHR0cHM6Ly93d3cuY25iYy5jb20vMjAyNS8wNi8xNy9zcG90aWZ5cy1kYW5pZWwtZWstbGVhZHMtaW52ZXN0bWVudC1pbi1kZWZlbnNlLXN0YXJ0dXAtaGVsc2luZy5odG1sIn0&amp;signature=AQAAAQhK9T87C9qyM9OXlubJtHJosTJYwR62ohd5pC9RNu5i&amp;gcReferrer=https%3A%2F%2Fwww.cnbc.com%2F2025%2F06%2F17%2Fspotifys-daniel-ek-leads-investment-in-defense-startup-helsing.html""><ins>led a $694 million investment</ins></a> in a defense startup called Helsing.</p>This article originally appeared on Engadget at https://www.engadget.com/audio/spotify-is-raising-prices-for-international-customers-162540129.html?src=rss"
3bca28815527c4f7a0518831489df0891b1bbfab,Original Amiga prototype spotted at VCF West 2025 vintage computing show — rarely seen forerunner to Amiga 1000 from early 1984,https://www.tomshardware.com/video-games/retro-gaming/original-amiga-prototype-spotted-at-vcf-west-2025-vintage-computing-show-rarely-seen-forerunner-to-amiga-1000-from-early-1984,www.tomshardware.com,2025-08-04T16:21:24+00:00,A very early pre-Commodore Amiga computer prototype was on public display at VCF West 2025 this weekend.
cdff082a68306d98a1ed63ccff13e421f69f97bd,Дайджест новостей из мира науки за прошедшую неделю,https://habr.com/ru/articles/933950/?utm_source=habrahabr&utm_medium=rss&utm_campaign=933950,habr.com,2025-08-04T16:21:12+00:00,"<img src=""https://habrastorage.org/getpro/habr/upload_files/51b/458/ed5/51b458ed577cdd25e0237f8d83feac46.jpg"" /><p>• Древние вирусы, встроенные в нашу ДНК, помогают включать и выключать гены, показало исследование</p><p>• Самые тонкие в мире очки виртуальной реальности проецируют настоящие 3D-голограммы</p><p>• Учёные создали светящиеся искусственные клетки, которые пульсируют в соответствии с 24-часовыми биологическими часами</p><p>• Исследование показывает изменения в «нейронном шуме» мозга с детства до зрелого возраста</p><p>• Воспоминания не статичны в мозге — они «дрейфуют» со временем</p> <a href=""https://habr.com/ru/articles/933950/?utm_source=habrahabr&amp;utm_medium=rss&amp;utm_campaign=933950#habracut"">Читать далее</a>"
10be174feb53116f1c9144fa7bbe0c9ac875433b,Уже доступен предзаказ: новейшие флагманы Huawei Pura 80 Pro и Pura 80 Ultra первыми получили быстрый поиск Яндекса по изображениям,https://www.ixbt.com/news/2025/08/04/huawei-pura-80-pro-pura-80-ultra.html,www.ixbt.com,2025-08-04T16:16:00+00:00,"<p>Команда Яндекса сообщила, что нейросеть &laquo;Алиса&raquo; стала ассистентом по умолчанию во флагманских смартфонах Huawei нового поколения &mdash; Pura 80 Ultra (<a href=""https://www.ixbt.com/mobile/huawei-pura-80-ultra-review.html"">обзор</a>)&nbsp;и Pura 80 Pro (<a href=""https://www.ixbt.com/mobile/huawei-pura-80-pro-review.html"">обзор</a>). Напомним, предварительные заказы на новинки в России <a href=""https://www.ixbt.com/news/2025/08/01/huawei-pura80-ultra.html"">начали</a> принимать с 1 августа 2025 года.&nbsp;</p> <a href=""https://www.ixbt.com/img/n1/news/2025/7/1/Pura_2080_AI_large.png""><figure><img src=""https://www.ixbt.com/img//x780x600/n1/news/2025/7/1/Pura_2080_AI_large.png"" /></figure></a> Иллюстрация: Huawei / Яндекс <p>В смартфонах серии Pura 80 также доступен поиск Яндекса по изображениям, работающий на основе нейросетей. Он позволяет быстро находить в интернете объекты с экрана любого приложения. Для этого нужно нажать на экран смартфона двумя пальцами в любом приложении.</p> <p>Чтобы активировать &laquo;Алису&raquo;, достаточно несколько секунд подержать нажатой кнопку разблокировки экрана смартфона. К нейросети можно обратиться вслух. В чате &laquo;Алиса&raquo; может проверить текст на опечатки или перепишет его в нужной стилистике, нарисовать картинку пользователя для соцсетей или открытку для дня рождения, проанализировать большую статью и кратко пересказать её главные тезисы.</p> <p>В компании подчеркнули:</p> <p>Pura 80 Pro и 80 Ultra &mdash; первые смартфоны, в которые встроен быстрый поиск Яндекса по изображениям. Он позволяет с помощью нейросетей распознавать объекты на экране и находить их в интернете.</p> <p>При поиске пользователь может задавать вопросы или оставлять комментарии &mdash; например, спросить, какого бренда кроссовки на фото, или уточнить, что хочется найти такие же 40 размера.</p> <p>С опцией &laquo;Алиса Про&raquo; владельцам смартфонов Pura 80 доступны дополнительные возможности нейросети &mdash; в том числе live-режим. В нём &laquo;Алиса&raquo; распознаёт объекты, показанные ей через камеру смартфона, и рассказывает о них. При этом с нейросетью можно общаться вслух &mdash; например, пользователь может гулять по городу, наводить камеру телефона на здания и расспрашивать о них нейросеть, а она будет отвечать, как гид.</p>"
c48109b581c8c7ce95473b3a76ab1779780ceca6,Неудачная модернизация «Великого китайского файрвола» грозит сбоями интернет-цензуры в Китае,https://3dnews.ru/1127076,3dnews.ru,2025-08-04T16:11:00+00:00,"Исследователи пришли к выводу, что попытки Китая цензурировать трафик, передаваемый с помощью Quick UDP Internet Connections (QUIC), несовершенны и подвергают страну риску атак, которые ослабляют её систему цензуры или даже ограничивают доступ к альтернативным DNS-резолверам. Операторы &laquo;Золотого щита&raquo;, также известного как &laquo;Великий китайский файрвол&raquo;, начали блокировать некоторые соединения QUIC ещё в апреле 2024 года, но делают это бессистемно. Источник изображений: unsplash.com"
3cb944bce122eb069b759f5e5a00e0f873f382d5,"Игроки остались в восторге от демоверсии Nioh 3, хотя без проблем не обошлось — разработчики представили план улучшений",https://3dnews.ru/1127075,3dnews.ru,2025-08-04T15:50:00+00:00,Издательство Koei Tecmo и разработчики из японской студии Team Ninja отчитались о результатах опроса среди пользователей временной демоверсии предстоящего фэнтезийного ролевого экшена Nioh 3.   Источник изображений: Koei Tecmo
